destination_group,public_group_code,public_relative_path,source_label,source_basename,annotation,claim_boundary,source_pdf,final_pdf_path,github_sha256,replacement_note
05_audit_boundary_reproducibility,audit,figures/12O_final_integrated_package/05_audit_boundary_reproducibility/001_audit_12N_final_no_overclaim_audit_12N_V9_FigA_no_rbind_claim_safe_final_audi.pdf,12N_final_no_overclaim_audit,12N_V9_FigA_no_rbind_claim_safe_final_audit_overview.pdf,"Claim-boundary/no-overclaim audit material. Retained to document that the project avoids clinical, lineage, projection, biomarker and causality overclaims.",Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/04_figures/12N_final_no_overclaim_audit_MARKER_RULE_MODEL_FINAL_COMPLETE_STANDALONE_V9_pdf/12N_V9_FigA_no_rbind_claim_safe_final_audit_overview.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/05_audit_boundary_reproducibility/001__12N_final_no_overclaim_audit__12N_V9_FigA_no_rbind_claim_safe_final_audit_overview.pdf,b2dc7a8b988e7dd5c21742c77d54d2480339527544512e12d2aea1a0f8703fa2,""
05_audit_boundary_reproducibility,audit,figures/12O_final_integrated_package/05_audit_boundary_reproducibility/002_audit_12N_final_no_overclaim_audit_12N_V9_FigB_marker_rule_model_boundary_map.pdf,12N_final_no_overclaim_audit,12N_V9_FigB_marker_rule_model_boundary_map.pdf,"Claim-boundary/no-overclaim audit material. Retained to document that the project avoids clinical, lineage, projection, biomarker and causality overclaims.",Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/04_figures/12N_final_no_overclaim_audit_MARKER_RULE_MODEL_FINAL_COMPLETE_STANDALONE_V9_pdf/12N_V9_FigB_marker_rule_model_boundary_map.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/05_audit_boundary_reproducibility/002__12N_final_no_overclaim_audit__12N_V9_FigB_marker_rule_model_boundary_map.pdf,4a5dc87ea63c53932f8ef9730e578936947d7cc59d7e154e67b7629141fff9d7,""
05_audit_boundary_reproducibility,audit,figures/12O_final_integrated_package/05_audit_boundary_reproducibility/003_audit_12N_final_no_overclaim_audit_12N_V9_FigC_submission_readiness_gate.pdf,12N_final_no_overclaim_audit,12N_V9_FigC_submission_readiness_gate.pdf,"Claim-boundary/no-overclaim audit material. Retained to document that the project avoids clinical, lineage, projection, biomarker and causality overclaims.",Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/04_figures/12N_final_no_overclaim_audit_MARKER_RULE_MODEL_FINAL_COMPLETE_STANDALONE_V9_pdf/12N_V9_FigC_submission_readiness_gate.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/05_audit_boundary_reproducibility/003__12N_final_no_overclaim_audit__12N_V9_FigC_submission_readiness_gate.pdf,c7dbdc1dbaea6928f8ebecad9a5a685f644d63e8492704436888cedfcd367062,""
05_audit_boundary_reproducibility,audit,figures/12O_final_integrated_package/05_audit_boundary_reproducibility/004_audit_12N_final_no_overclaim_audit_12N_V9_FigD_manual_external_check_register.pdf,12N_final_no_overclaim_audit,12N_V9_FigD_manual_external_check_register.pdf,"Claim-boundary/no-overclaim audit material. Retained to document that the project avoids clinical, lineage, projection, biomarker and causality overclaims.",Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/04_figures/12N_final_no_overclaim_audit_MARKER_RULE_MODEL_FINAL_COMPLETE_STANDALONE_V9_pdf/12N_V9_FigD_manual_external_check_register.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/05_audit_boundary_reproducibility/004__12N_final_no_overclaim_audit__12N_V9_FigD_manual_external_check_register.pdf,81a79d71d73f7f05171c6a5bcd178d4e14573a0e3503d55b76f95b67ac6fecb6,""
05_audit_boundary_reproducibility,audit,figures/12O_final_integrated_package/05_audit_boundary_reproducibility/005_audit_12N_final_no_overclaim_audit_12N_V9_FigE_final_marker_rule_project_lock.pdf,12N_final_no_overclaim_audit,12N_V9_FigE_final_marker_rule_project_lock_record.pdf,"Claim-boundary/no-overclaim audit material. Retained to document that the project avoids clinical, lineage, projection, biomarker and causality overclaims.",Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/04_figures/12N_final_no_overclaim_audit_MARKER_RULE_MODEL_FINAL_COMPLETE_STANDALONE_V9_pdf/12N_V9_FigE_final_marker_rule_project_lock_record.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/05_audit_boundary_reproducibility/005__12N_final_no_overclaim_audit__12N_V9_FigE_final_marker_rule_project_lock_record.pdf,d5560c4b2479b40b220ad19b3eafab106cc5a73c485e9deb08fa805cf11f005c,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/006_main_10D_V18_main_single_panel_Figure_01_F1B_Representative_discovery-dat.pdf,10D_V18_main_single_panel,GSE132758_annotation_colour_UMAP_legend_only_12P_V13.pdf,Clean annotation-colour UMAP for GSE132758. No cluster numbers are shown on the UMAP; the right-side legend shows what each colour represents. Legend table: D:/PD_Graft_Project/03_tables/12P_V13_color_annotation_legend_only_GSE132758/12P_V13_GSE132758_colour_to_annotation_legend_table.csv,"Computational/transcriptomic annotation display only. Not clinical-use prediction, not validated biomarker discovery, not barcode-lineage tracing, not anatomical-projection proof, and not genetic causality proof.",D:/PD_Graft_Project/04_figures/12P_V13_color_annotation_legend_only_GSE132758_pdf/GSE132758_annotation_colour_UMAP_legend_only_12P_V13.pdf,D:/Backup/Documents/GitHub/PD_Graft_marker_rule_prioritization_model/figures/12O_final_integrated_package/01_main_single_panel/006_main_10D_V18_main_single_panel_Figure_01_F1B_Representative_discovery-dat.pdf,473510710e8f6c3881671d972d8bbf384d5591a1526e257e370f8573a6695c96,12P V13 replaced public Figure 006 with colour-annotation legend-only UMAP. Source PDF: D:/PD_Graft_Project/04_figures/12P_V13_color_annotation_legend_only_GSE132758_pdf/GSE132758_annotation_colour_UMAP_legend_only_12P_V13.pdf
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/007_main_10D_V18_main_single_panel_Figure_02_F1C_DA_projection-associated_mol.pdf,10D_V18_main_single_panel,Figure_02_F1C_DA_projection-associated_molecular_score_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction. Not anatomical-projection proof.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_02_F1C_DA_projection-associated_molecular_score_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/007__10D_V18_main_single_panel__Figure_02_F1C_DA_projection-associated_molecular_score_10D_V18_single_panel.pdf,ae9131335ed32e0cd4385839705c1560153ce14159bc0fb8ac51c090875c8eb3,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/008_main_10D_V18_main_single_panel_Figure_03_F1D_Safety-risk-associated_trans.pdf,10D_V18_main_single_panel,Figure_03_F1D_Safety-risk-associated_transcriptional_score_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_03_F1D_Safety-risk-associated_transcriptional_score_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/008__10D_V18_main_single_panel__Figure_03_F1D_Safety-risk-associated_transcriptional_score_10D_V18_single_panel.pdf,3608d316b196e08e1b42fd132dba29b41691d3655b59d1818a3238eb7ce51faa,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/009_main_10D_V18_main_single_panel_Figure_04_F1E_Dataset-level_priority_index.pdf,10D_V18_main_single_panel,Figure_04_F1E_Dataset-level_priority_index_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_04_F1E_Dataset-level_priority_index_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/009__10D_V18_main_single_panel__Figure_04_F1E_Dataset-level_priority_index_10D_V18_single_panel.pdf,c6346661d8333a5982967c71ec4cd356656d01ac1deddb7002c59b907c3a7701,""
01_main_single_panel,main,figures/12O_final_integrated_package/01_main_single_panel/010_main_10D_V18_main_single_panel_Figure_05_F2A_Candidate-state_signature_he.pdf,10D_V18_main_single_panel,Figure_05_F2A_Candidate-state_signature_heatmap_10D_V18_single_panel.pdf,Main single-panel evidence figure derived from the final V18 10D single-panel figure export. Use as core visual evidence for candidate transcriptomic cell-state prioritisation.,Not clinical-use prediction. Not validated biomarker discovery. Not patient outcome prediction. Not therapeutic-response prediction.,D:/PD_Graft_Project/09_manuscript/10D_final_single_panel_figure_export_V18/main_figures_single_panel/Figure_05_F2A_Candidate-state_signature_heatmap_10D_V18_single_panel.pdf,D:/PD_Graft_Project/09_manuscript/12O_final_integrated_figure_package_V2/figures/01_main_single_panel/010__10D_V18_main_single_panel__Figure_05_F2A_Candidate-state_signature_heatmap_10D_V18_single_panel.pdf,6c0063e08bca1b9f37652a1c125c7dafeaebde69122495268ef0eb458e15249d,""
